#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:45:05 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:45:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/110A/table4&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=ACO&-out=_RA.icrs&-out=_DE.icrs&-out=Count&-out=Rich	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7110
#Name: VII/110A
#Title: Rich Clusters of Galaxies (Abell+ 1989)
#INFO	ivoid=ivo://cds.vizier/vii/110a	    IVOID of underlying data collection
#INFO	creator=Abell G.O.	    First author or institution
#INFO	cites=bibcode:1989ApJS...70....1A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1989	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/110A	    Dataset landing page
#INFO	publication_date=2012-11-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_110A_table4:
#Name: VII/110A/table4
#Title: Southern "Abell Catalog"
----	-------	------	---	-
2713	00 02.6	-47 09	 58	1
2714	00 02.5	-68 03	 45	0
2715	00 02.8	-34 40	112	2
2716	00 02.9	-27 10	 44	0
2717	00 03.3	-35 57	 52	1
2718	00 03.7	-41 56	 61	1
2719	00 04.0	-23 07	 41	0
2720	00 05.2	-18 01	 80	2
2721	00 06.1	-34 43	192	3
2722	00 07.0	-40 58	 51	1
2723	00 07.0	-77 08	 43	0
2724	00 07.2	-31 51	 47	0
2725	00 07.4	-17 43	 92	2
2726	00 07.3	-28 07	 47	0
2727	00 07.4	-82 00	 68	1
2728	00 08.0	-60 47	 56	1
2729	00 09.5	-16 47	 64	1
2730	00 09.9	-35 41	 79	1
2731	00 10.2	-56 59	 39	0
2732	00 10.2	-64 26	 39	0
2733	00 11.2	-34 26	 74	1
2734	00 11.3	-28 52	 58	1
2735	00 11.7	-67 48	 57	1
2736	00 12.0	-42 14	 41	0
2737	00 12.0	-66 20	 33	0
2738	00 12.6	-50 19	 63	1
2739	00 12.7	-18 42	 90	2
2740	00 12.7	-63 12	 42	0
2741	00 13.7	-32 28	 59	1
2742	00 13.9	-23 38	 66	1
2743	00 14.0	-46 21	 69	1
2744	00 14.3	-30 23	137	3
2745	00 14.3	-42 37	 62	1
2746	00 14.2	-66 04	 35	0
2747	00 15.1	-29 22	 56	1
2748	00 16.0	-18 12	 70	1
2749	00 16.0	-34 57	109	2
2750	00 16.0	-37 08	 69	1
2751	00 16.2	-31 23	 68	1
2752	00 16.3	-46 23	 70	1
2753	00 16.3	-49 51	 76	1
2754	00 17.1	-52 48	 41	0
2755	00 17.5	-35 11	120	2
2756	00 17.8	-19 18	 79	1
2757	00 15.8	-88 10	 40	0
2758	00 18.4	-41 46	 37	0
2759	00 18.5	-30 40	 47	0
2760	00 19.2	-65 33	 39	0
2761	00 19.3	-64 31	 40	0
2762	00 19.4	-53 32	 45	0
2763	00 20.0	-41 57	 58	1
2764	00 20.5	-49 13	 55	1
2765	00 21.5	-20 45	 55	1
2766	00 22.7	-32 05	 58	1
2767	00 22.8	-38 07	 55	1
2768	00 24.0	-17 03	 68	1
2769	00 24.2	-39 38	 33	0
2770	00 24.2	-65 55	 33	0
2771	00 24.6	-40 07	 33	0
2772	00 25.0	-37 59	 58	1
2773	00 25.2	-43 26	 37	0
2774	00 25.5	-65 40	 69	1
2775	00 25.8	-68 56	 51	1
2776	00 26.2	-50 25	 53	1
2777	00 27.2	-50 15	 88	2
2778	00 28.6	-30 14	 51	1
2779	00 29.0	-53 06	 42	0
2780	00 29.3	-29 23	 54	1
2781	00 30.1	-20 04	 78	1
2782	00 30.3	-53 23	 48	0
2783	00 30.6	-34 24	 32	0
2784	00 30.8	-29 26	 53	1
2785	00 31.1	-62 39	 32	0
2786	00 31.6	-41 23	 64	1
2787	00 31.9	-55 11	 59	1
2788	00 32.2	-27 30	 41	0
