#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:45:48 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:45:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/1B/catalog&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Messier&-out=_RA.icrs&-out=_DE.icrs&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7001
#Name: VII/1B
#Title: Revised New General Catalogue (Sulentic+, 1973)
#INFO	ivoid=ivo://cds.vizier/vii/1b	    IVOID of underlying data collection
#INFO	creator=Sulentic J.W.	    First author or institution
#INFO	cites=1973rncn.book.....S	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/1B	    Dataset landing page
#INFO	publication_date=2018-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1975:	eq_FK4 B1975
#Table	VII_1B_catalog:
#Name: VII/1B/catalog
#Title: The Revised NGC Catalog
-------	------
00 07.3	+27 42
00 07.3	+27 40
00 07.3	+08 17
00 08.2	+08 09
00 07.8	+35 21
00 08.3	+32 30
00 08.4	-29 55
00 08.8	+23 50
00 08.9	+23 48
00 08.7	-33 53
00 08.7	+37 26
00 08.8	+04 36
00 08.8	+33 25
00 08.7	+15 48
00 09.1	+21 36
00 09.1	+27 43
00 09.1	-12 08
00 09.4	+27 43
00 09.4	+32 50
00 09.6	+33 18
00 10.7	+32 58
00 09.8	+27 50
00 09.9	+25 55
00 10.0	-24 59
00 09.9	-57 03
00 10.4	+25 49
00 10.5	+29 00
00 10.3	-57 01
00 10.8	+33 21
00 10.8	+21 57
00 10.5	-57 00
00 10.9	+18 47
00 10.9	+03 40
00 11.1	-12 06
00 11.2	-12 00
00 11.3	+06 24
00 11.3	-56 58
00 11.9	-05 36
00 12.3	+31 03
00 13.1	+72 31
00 12.8	+22 02
00 12.9	+22 06
00 13.0	+30 54
00 13.1	+31 17
00 14.0	-23 11
00 14.1	+05 59
00 14.5	-07 11
00 14.0	+48 13
00 14.3	+48 14
00 14.7	-07 21
00 14.5	+48 15
00 14.6	+18 33
00 14.7	-60 20
00 15.1	-07 08
00 15.1	-39 14
00 15.4	+12 26
00 15.4	+17 18
00 15.7	-07 11
00 15.5	-21 27
00 16.0	-00 18
00 16.5	-06 14
00 16.5	-06 14
00 17.1	-13 28
00 17.8	+11 26
00 17.5	-06 51
00 19.1	-22 54
00 19.2	-22 57
00 18.2	+30 03
00 18.3	+30 04
00 18.3	+30 02
00 18.4	+30 04
00 18.4	+30 03
